ID,Latitude,Longitude,Elevation,Station_Name,IDno
ID000096073,1.55,98.883,3,SIBOLGA/PINANGSORI,96073
ID000096145,3.2,106.25,3,TAREMPA,96145
ID000096163,-0.883,100.35,3,PADANG/TABING,96163
ID000096745,-6.183,106.833,8,JAKARTA/OBSERVATORY,96745
ID000096805,-7.733,109.017,6,CILACAP,96805
ID000096925,-5.85,112.633,3,SANGKAPURA (BAWEAN,96925
ID000097014,1.533,124.917,80,MENADO/ SAM RATULAN,97014
ID000097146,-4.1,122.433,50,KENDARI/WOLTER MONG,97146
ID000097340,-9.667,120.333,12,WAINGAPU/MAU HAU,97340
ID000097372,-10.167,123.667,108,KUPANG/ELTARI,97372
ID000097502,-0.933,131.117,3,SORONG/JEFMAN,97502
ID000097560,-1.183,136.117,11,BIAK/FRANS KAISIEPO,97560
ID000097686,-4.067,138.95,1660,WAMENA,97686
ID000097690,-2.567,140.483,99,JAYAPURA/SENTANI,97690
ID000097724,-3.7,128.083,12,AMBON/PATTIMURA,97724
ID000097900,-7.983,131.3,24,SAUMLAKI/OLILIT,97900
ID000097980,-8.467,140.383,3,MERAUKE/MOPAH,97980
IDM00096001,5.874,95.34,113,MAIMUN SALEH,96001
IDM00096009,5.227,96.95,27.4,MALIKUS SALEH,96009
IDM00096011,5.524,95.42,19.8,SULTAN ISKANDARMUDA,96011
IDM00096015,4.25,96.117,90,MEULABOH/CUT NYAK,96015
IDM00096033,3.8,98.7,3,MEDAN/BELAWAN,96033
IDM00096035,3.558,98.672,34.7,POLONIA,96035
IDM00096075,1.166,97.705,6.1,BINAKA,96075
IDM00096087,1.117,104.117,24,BATAM/HANG NADIM,96087
IDM00096091,0.923,104.532,18,KIJANG,96091
IDM00096109,0.461,101.445,31.1,SULTAN SYARIF KASIM II,96109
IDM00096171,-0.353,102.335,18.9,JAPURA,96171
IDM00096179,-0.479,104.579,30,DABO,96179
IDM00096195,-1.638,103.644,25,SULTAN THAHA,96195
IDM00096207,-2.767,101.367,782,KERINCI/DEPATI PARB,96207
IDM00096221,-2.898,104.701,14.9,SULTAN MAHMUD BADARUDDIN II,96221
IDM00096237,-2.17,106.13,34,PANGKALPINANG,96237
IDM00096249,-2.746,107.755,51,H AS HANANDJOEDDIN,96249
IDM00096253,-3.864,102.339,15.2,FATMAWATI SOEKARNO,96253
IDM00096295,-5.242,105.179,88,RADIN INTEN II,96295
IDM00096509,3.327,117.566,6,JUWATA,96509
IDM00096525,2.85,117.333,50,TANJUNG SELOR,96525
IDM00096529,2.155,117.432,18,KALIMARU,96529
IDM00096535,1.767,109.3,15,PALOH,96535
IDM00096559,0.064,111.473,29.9,SUSILO,96559
IDM00096581,-0.151,109.404,3,SUPADIO,96581
IDM00096595,-0.95,114.9,60,MUARATEWE/BERINGIN,96595
IDM00096607,-0.485,117.157,10,TEMINDUNG,96607
IDM00096615,-1.817,109.963,14,RAHADI USMAN,96615
IDM00096633,-1.268,116.894,3.7,SEPINGGAN,96633
IDM00096645,-2.705,111.673,25,ISKANDAR,96645
IDM00096655,-2.225,113.943,26,TJILIK RIWUT,96655
IDM00096685,-3.442,114.763,20.1,SYAMSUDIN NOOR,96685
IDM00096695,-3.4,116.217,18,KOTABARU/SETAGEN,96695
IDM00096737,-6.117,106.133,40,SERANG,96737
IDM00096739,-6.293,106.57,47,BUDIARTO,96739
IDM00096741,-6.1,106.867,2,JAKARTA/TANJUNG PRIOK,96741
IDM00096749,-6.126,106.656,10.4,SOEKARNO HATTA INTL,96749
IDM00096751,-6.7,106.933,-999.9,BOGOR/CITEKO,96751
IDM00096753,-6.5,106.75,250,BOGOR/DERMAGA,96753
IDM00096791,-6.75,108.267,50,CIREBON/JATIWANGI,96791
IDM00096797,-6.85,109.15,10,TEGAL,96797
IDM00096837,-6.967,110.417,3,SEMARANG,96837
IDM00096839,-6.973,110.375,3,ACHMAD YANI,96839
IDM00096933,-7.217,112.717,3,SURABAYA/PERAK,96933
IDM00096935,-7.38,112.787,3,SURABAYA JUANDA,96935
IDM00096937,-7.217,113.717,3,SURABAYA/GEDANGAN,96937
IDM00096973,-7.05,113.967,3,KALIANGET (MADURA IS),96973
IDM00096987,-8.217,114.383,5,BANYUWANGI,96987
IDM00097008,3.683,125.528,4.9,NAHA,97008
IDM00097016,1.433,125.183,3,BITUNG,97016
IDM00097028,1.017,120.8,2,TOLI-TOLI/LALOS,97028
IDM00097048,0.637,122.85,32,JALALUDDIN,97048
IDM00097072,-0.919,119.91,86.6,MUTIARA,97072
IDM00097086,-1.039,122.772,17.1,BUBUNG,97086
IDM00097096,-1.417,120.658,53,KASIGUNCU,97096
IDM00097120,-2.5,119,8,MAJENE,97120
IDM00097126,-2.55,120.367,50,MASAMBA/ANDI JEMMA,97126
IDM00097180,-5.062,119.554,14.3,HASANUDDIN,97180
IDM00097182,-5.067,119.55,-999.9,UJANG PANDANG/PAOTERE,97182
IDM00097192,-5.467,122.617,2,BAU-BAU/BETO AMBIRI,97192
IDM00097230,-8.749,115.167,1,DENPASAR NGURAH RAI,97230
IDM00097240,-8.75,116.267,96,MATARAM-LOMBOK INTL AIRPORT,97240
IDM00097260,-8.489,117.412,5,SUMBAWA BESAR,97260
IDM00097270,-8.54,118.687,22,MUHAMMAD SALAHUDDIN,97270
IDM00097300,-8.641,122.237,3,WAI OTI,97300
IDM00097310,-8.267,122.967,9,LARANTUKA/GEWAYENTA,97310
IDM00097320,-8.217,124.567,12,ALOR/MALI/KALABAHI,97320
IDM00097378,-10.733,123.067,1,ROTE/BAA/LEKUNIK,97378
IDM00097380,-10.5,121.833,26,SABU/TARDAMU,97380
IDM00097406,1.817,127.833,8,GALELA/GAMARMALAMU,97406
IDM00097430,0.831,127.381,14.9,BABULLAH,97430
IDM00097460,-1.617,124.55,3,LABUHA/TALIABU,97460
IDM00097530,-0.892,134.049,7,RENDANI,97530
IDM00097570,-1.867,136.233,3,SERUI/YENDOSA,97570
IDM00097580,-1.833,138.717,3,SARMI/ORAI,97580
IDM00097600,-2.083,126,2,SANANA,97600
IDM00097630,-2.883,132.25,130,FAK-FAK/TOREA,97630
IDM00097682,-3.368,135.496,6.1,NABIRE,97682
IDM00097698,-2.367,140.717,3,JAYAPURA/DOK II,97698
IDM00097700,-3.25,127.083,20,NAMLEA/BURU ISLAND,97700
IDM00097700,-3.25,127.083,20,NAMLEA/BURU ISLAND,97700
IDM00097722,-3.35,128.883,10,AMAHAI,97722
IDM00097748,-3.8,130.833,3,GESER,97748
IDM00097760,-3.645,133.696,5.8,KAIMANA,97760
IDM00097780,-3.917,136.367,1770,ENAROTALI,97780
IDM00097796,-4.717,136.433,3,KOKONAO/TIMUKA,97796
IDM00097810,-5.683,132.75,12,TUAL/DUMATUBUN,97810
IDM00097876,-6.1,140.3,16,TANAH MERAH,97876